Site,Place,Latitude,Longitude,Year,Microplastic_Level,pH_Level,Temperature
Sampiruhan,Sampiruhan,14.4,121.1,2018,1472.939,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1489.318,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1216.553,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,581.017,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1096.348,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,686.037,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1081.103,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1438.07,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,4172.731,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,4325.234,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1599.72,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1457.19,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1139.073,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,3508.895,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,795.219,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1469.001,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1763.31,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1735.657,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2254.183,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1241.965,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1179.355,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1794.971,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1219.514,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1633.462,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,954.726,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1170.287,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,4233.065,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2245.402,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1413.755,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1291.165,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1712.595,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1565.321,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,3540.79,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1109.121,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,461.564,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,3392.038,,
