Site,Place,Latitude,Longitude,Year,Microplastic_Level,pH_Level,Temperature
San Isidro,San Isidro,14.4,121.1,2018,1309.817,,
San Isidro,San Isidro,14.4,121.1,2018,3503.769,,
San Isidro,San Isidro,14.4,121.1,2018,1840.551,,
San Isidro,San Isidro,14.4,121.1,2018,1062.882,,
San Isidro,San Isidro,14.4,121.1,2018,4094.795,,
San Isidro,San Isidro,14.4,121.1,2018,2157.857,,
San Isidro,San Isidro,14.4,121.1,2018,885.279,,
San Isidro,San Isidro,14.4,121.1,2018,2493.728,,
San Isidro,San Isidro,14.4,121.1,2018,1312.295,,
San Isidro,San Isidro,14.4,121.1,2018,1774.836,,
San Isidro,San Isidro,14.4,121.1,2018,2019.603,,
San Isidro,San Isidro,14.4,121.1,2018,1107.077,,
San Isidro,San Isidro,14.4,121.1,2018,1680.394,,
San Isidro,San Isidro,14.4,121.1,2018,1019.162,,
San Isidro,San Isidro,14.4,121.1,2018,4410.917,,
San Isidro,San Isidro,14.4,121.1,2018,749.884,,
San Isidro,San Isidro,14.4,121.1,2018,1344.984,,
San Isidro,San Isidro,14.4,121.1,2018,1919.097,,
San Isidro,San Isidro,14.4,121.1,2018,1838.735,,
San Isidro,San Isidro,14.4,121.1,2018,1227.349,,
San Isidro,San Isidro,14.4,121.1,2018,1348.844,,
San Isidro,San Isidro,14.4,121.1,2018,3513.621,,
San Isidro,San Isidro,14.4,121.1,2018,2267.989,,
San Isidro,San Isidro,14.4,121.1,2018,1068.393,,
San Isidro,San Isidro,14.4,121.1,2018,4163.245,,
San Isidro,San Isidro,14.4,121.1,2018,1526.646,,
San Isidro,San Isidro,14.4,121.1,2018,2184.075,,
San Isidro,San Isidro,14.4,121.1,2018,1448.495,,
San Isidro,San Isidro,14.4,121.1,2018,836.242,,
San Isidro,San Isidro,14.4,121.1,2018,944.475,,
San Isidro,San Isidro,14.4,121.1,2018,585.425,,
San Isidro,San Isidro,14.4,121.1,2018,733.797,,
San Isidro,San Isidro,14.4,121.1,2018,764.225,,
San Isidro,San Isidro,14.4,121.1,2018,999.836,,
San Isidro,San Isidro,14.4,121.1,2018,1330.026,,
San Isidro,San Isidro,14.4,121.1,2018,1342.821,,
San Isidro,San Isidro,14.4,121.1,2018,1026.021,,
San Isidro,San Isidro,14.4,121.1,2018,1644.396,,
San Isidro,San Isidro,14.4,121.1,2018,738.057,,
San Isidro,San Isidro,14.4,121.1,2018,639.828,,
San Isidro,San Isidro,14.4,121.1,2018,1833.508,,
San Isidro,San Isidro,14.4,121.1,2018,820.958,,
San Isidro,San Isidro,14.4,121.1,2018,1131.076,,
San Isidro,San Isidro,14.4,121.1,2018,1672.483,,
San Isidro,San Isidro,14.4,121.1,2018,1841.625,,
San Isidro,San Isidro,14.4,121.1,2018,2013.862,,
San Isidro,San Isidro,14.4,121.1,2018,549.924,,
San Isidro,San Isidro,14.4,121.1,2018,1118.988,,
San Isidro,San Isidro,14.4,121.1,2018,2128.988,,
San Isidro,San Isidro,14.4,121.1,2018,954.339,,
Napindan,Napindan,14.535,121.074,2018,3601.606,,
Napindan,Napindan,14.535,121.074,2018,3133.051,,
Napindan,Napindan,14.535,121.074,2018,4523.72,,
Napindan,Napindan,14.535,121.074,2018,2876.281,,
Napindan,Napindan,14.535,121.074,2018,1518.174,,
Napindan,Napindan,14.535,121.074,2018,3540.641,,
Napindan,Napindan,14.535,121.074,2018,2624.826,,
Napindan,Napindan,14.535,121.074,2018,4584.07,,
Napindan,Napindan,14.535,121.074,2018,3877.545,,
Napindan,Napindan,14.535,121.074,2018,4455.668,,
Napindan,Napindan,14.535,121.074,2018,4850.287,,
Napindan,Napindan,14.535,121.074,2018,690.516,,
Napindan,Napindan,14.535,121.074,2018,456.553,,
Napindan,Napindan,14.535,121.074,2018,3928.571,,
Napindan,Napindan,14.535,121.074,2018,3820.366,,
Napindan,Napindan,14.535,121.074,2018,4584.875,,
Napindan,Napindan,14.535,121.074,2018,698.147,,
Napindan,Napindan,14.535,121.074,2018,3701.015,,
Napindan,Napindan,14.535,121.074,2018,2819.458,,
Napindan,Napindan,14.535,121.074,2018,4492.297,,
Napindan,Napindan,14.535,121.074,2018,4861.083,,
Napindan,Napindan,14.535,121.074,2018,965.374,,
Napindan,Napindan,14.535,121.074,2018,812.571,,
Napindan,Napindan,14.535,121.074,2018,2190.151,,
Napindan,Napindan,14.535,121.074,2018,1706.574,,
Napindan,Napindan,14.535,121.074,2018,1418.734,,
Napindan,Napindan,14.535,121.074,2018,593.354,,
Napindan,Napindan,14.535,121.074,2018,677.391,,
Napindan,Napindan,14.535,121.074,2018,1455.309,,
Napindan,Napindan,14.535,121.074,2018,491.863,,
Napindan,Napindan,14.535,121.074,2018,1281.213,,
Napindan,Napindan,14.535,121.074,2018,3501.982,,
Napindan,Napindan,14.535,121.074,2018,1862.373,,
Napindan,Napindan,14.535,121.074,2018,1658.525,,
Napindan,Napindan,14.535,121.074,2018,1397.979,,
Napindan,Napindan,14.535,121.074,2018,1356.643,,
Napindan,Napindan,14.535,121.074,2018,719.471,,
Napindan,Napindan,14.535,121.074,2018,1391.189,,
Napindan,Napindan,14.535,121.074,2018,1055.328,,
Napindan,Napindan,14.535,121.074,2018,1909.645,,
Napindan,Napindan,14.535,121.074,2018,1803.089,,
Napindan,Napindan,14.535,121.074,2018,1516.619,,
Napindan,Napindan,14.535,121.074,2018,1883.901,,
Napindan,Napindan,14.535,121.074,2018,1773.414,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,3699.653,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,3988.623,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1392.248,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1943.714,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,3972.182,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,4701.245,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2594.878,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,4044.016,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2425.011,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1174.889,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1236.914,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1247.211,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,873.509,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2426.244,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1666.045,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1587.785,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2192.444,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2981.941,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1674.566,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1861.873,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1863.105,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,934.356,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,4292.537,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1643.174,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1610.76,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,3976.388,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2356.181,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1010.455,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1548.349,,
